field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Qualifier1,5,RE,using laparotomy with forceps,,,,
Qualifier1,5,RF,using laparotomy with vacuum,,,,
Qualifier1,5,RG,using other type of Cesarean incision and forceps,,,,
Qualifier1,5,RH,using other type of Cesarean incision and vacuum,,,,
Qualifier1,5,SA,use of equipment,,,,
Qualifier1,5,SB,care of 3rd or 4th degree tear,,,,
Qualifier1,5,SC,normal puerperium care,,,,
Qualifier1,5,SD,contraceptive use,,,,
Qualifier1,5,SE,infant care,,,,
Qualifier1,5,SF,psychosocial,,,,
Qualifier1,5,SG,body image after birth,,,,
Qualifier1,5,SH,child growth and development,,,,
Qualifier1,5,SJ,breastfeeding techniques and/or alternatives,,,,
Qualifier1,5,SK,postpartum depression,,,,
Qualifier1,5,SL,grieving/bereavement,,,,
Qualifier1,5,SM,(group) prenatal classes,,,,
Qualifier1,5,TA,procurement of cord blood,,,,
Qualifier1,5,TB,intrauterine pressure catheter,,,,
Qualifier1,5,TC,salpingotomy using endoscopic approach,,,,
Qualifier1,5,UW,open approach with manual technique,,,,
Qualifier1,5,WJ,open approach with special excision technique,,,,
Qualifier1,5,WK,open approach with special incision technique,,,,
Qualifier1,5,YA,route NEC,,,,
Qualifier1,5,ZZ,unspecified NOS (NEC),,,,
Qualifier2,5,A2,antacids,,,,
Qualifier2,5,A4,and antinauseant,,,,
Qualifier2,5,A6,and stool softener,,,,
Qualifier2,5,AG,using laser,,,,
Qualifier2,5,B1,and diabetes therapy,,,,
Qualifier2,5,B2,and vitamin supplement,,,,
Qualifier2,5,BD,and balloon catheter,,,,
Qualifier2,5,C3,"antianemic preparation (e.g. iron, cyanocobalamin, folic acid, erythropoietin)",,,,
Qualifier2,5,D2,and salt solution,,,,
Qualifier2,5,E1,and cardiac glycoside,,,,
Qualifier2,5,E2,and cardiac antiarrhythmic,,,,
Qualifier2,5,E6,and antihypertensive agent,,,,
Qualifier2,5,F1,and beta blocker,,,,
Qualifier2,5,F2,and calcium channel blocker,,,,
Qualifier2,5,FN,and moist dressing,,,,
Qualifier2,5,FR,and intermittent auscultation,,,,
Qualifier2,5,FT,and intermittent electronic monitoring,,,,
Qualifier2,5,FW,and continuous electronic monitoring,,,,
Qualifier2,5,FX,and fetal scalp electrode,,,,
Qualifier2,5,G2,and emollient,,,,
Qualifier2,5,I2,and ocytocic agent,,,,
Qualifier2,5,I4,and labour suppressant,,,,
Qualifier2,5,J1,and hormone for suppression of labour,,,,
Qualifier2,5,J2,and corticosteroid,,,,
Qualifier2,5,J3,and thyroid therapy,,,,
Qualifier2,5,K0,and anti infective,,,,
Qualifier2,5,L4,and antiviral agent,,,,
Qualifier2,5,M2,and antimetabolite,,,,
Qualifier2,5,P1,and general anesthetic,,,,
Qualifier2,5,P2,and analgesic,,,,
Qualifier2,5,P3,and anticonvulsant,,,,
Qualifier2,5,P6,and tranquilizer,,,,
Qualifier2,5,P7,and sedative,,,,
Qualifier2,5,T9,and other pharmaceutical agent NEC,,,,
Qualifier2,5,U1,using red cell concentrate,,,,
Qualifier2,5,U4,using platelets,,,,
Qualifier2,5,U7,and stem cells,,,,
Qualifier2,5,U9,and whole blood,,,,
Qualifier2,5,W6,and laminaria,,,,
Qualifier2,5,X9,and sterile water,,,,
Qualifier2,5,Z9,and chemical agent NEC,,,,
Group,6,AA,Mental health and addictions,,Therapeutic Interventions for Mental Health and Addictions,,
Group,6,DA,Interpersonal relationships,,Therapeutic Interventions for Interpersonal Relationships,,
Group,6,KA,Cognition and learning,,Therapeutic Interventions for Cognition and Learning,,
Group,6,LA,Communication,,Therapeutic Interventions for Communication,,
Group,6,PA,Hearing,,Therapeutic Interventions for Hearing,,
Group,6,RA,Voice,,Therapeutic Interventions for Voice,,
Group,6,TA,Sight and other senses NEC,,Therapeutic Interventions for Sight & Other Senses NEC,,
Group,6,VA,Motor and living skills,,Diagnostic and Therapeutic Interventions for Motor and Living Skills,,
Intervention,6,02,Assessment,"Involves evaluating a condition, problem, or functional status to establish a diagnosis and/or identify treatment or rehabilitation measures and/or monitor a client's response to an existing treatment/rehabilitation plan. May also include ordering diagnostic investigations, reviewing results, prescribing and counseling as appropriate.  Language comprehension and speech assessment; Life coping skills assessment; Psychiatric assessment",,,
Intervention,6,10,Counseling,"Providing health advice to a client that identifies health problems (or risks), encourages a change of client attitude or behavior in order to initiate a willingness to modify lifestyle or behavior that will result in an elimination of the health problem (or risk). Addiction counseling (e.g. alcohol, drugs, gambling); Marital counseling; Counseling for hearing loss",,,
Intervention,6,07,Facilitation,Providing general supportive assistance to a client. Assistance with community integration; Mediation of interpersonal relationships,,,
Intervention,6,03,Observation and monitoring, Keep a vigilant watch of a given (set of) condition(s) and make note of observations.,,,
Intervention,6,08,Test,An examination or trial of function performed to evaluate results and determine a condition.  Intelligence quotient (IQ) test; Psychometric testing; Vocational skills testing,,,
Intervention,6,30,Therapy,"The general treatment of a condition, disease or dysfunction to eradicate its cause, manage or reduce the symptoms, or alleviate other associated disabling conditions by using appropriate selected techniques. Behaviour using desensitization technique; Psychotherapy using active listening technique",,,
Intervention,6,50,Training,Teaching new or different skills to assist a client in overcoming a functional problem (or impairment) that usually involves a complex learning process before those skills are acquired and integrated. Teaching parenting skills; Teaching language skills using phonetics,,,
Qualifier1,6,AD,for addiction,,,,
Qualifier1,6,AS,for sleep,,,,
Qualifier1,6,AV,for assault victimization,,,,
Qualifier1,6,BE,for behavior,,,,
Qualifier1,6,BR,for breath control,,,,
Qualifier1,6,CD,for concurrent disorders,,,,
Qualifier1,6,CM,"for competence (financial, legal, testamentary)",,,,
Qualifier1,6,CP,for capacity for harm (to self or others),,,,
Qualifier1,6,CT,for crisis or trauma,,,,
Qualifier1,6,DC,for couples,,,,
Qualifier1,6,DF,for family,,,,
Qualifier1,6,DS,for sex,,,,
Qualifier1,6,DW,for work,,,,
Qualifier1,6,DZ,for other interpersonal relationship NEC,,,,
Qualifier1,6,FR,forensic,,,,
Qualifier1,6,GA,for gambling,,,,
Qualifier1,6,GB,for grief or bereavement,,,,
Qualifier1,6,LA,for low vision,,,,
Qualifier1,6,LB,for orthoptic vision,,,,
Qualifier1,6,LC,for reading (braille),,,,
Qualifier1,6,LE,for using guide dog,,,,
Qualifier1,6,MA,for mood,,,,
Qualifier1,6,MD,for orientation,,,,
Qualifier1,6,ME,for memory,,,,
Qualifier1,6,MP,for perception,,,,
Qualifier1,6,MR,for recognition,,,,
Qualifier1,6,MZ,for other cognition and learning NEC,,,,
Qualifier1,6,PE,for personality,,,,
Qualifier1,6,QA,for spoken language,,,,
Qualifier1,6,QB,for written language,,,,
Qualifier1,6,QC,for self- expression,,,,
Qualifier1,6,RB,for speech production,,,,
Qualifier1,6,RC,for speech fluency,,,,
Qualifier1,6,RD,for speech articulation,,,,
Qualifier1,6,SK,for coping skills,,,,
Qualifier1,6,SN,for sound production,,,,
Qualifier1,6,TA,for alimentation,,,,
Qualifier1,6,TB,for bathing,,,,
Qualifier1,6,TD,for using assistive/ adaptive devices,,,,
Qualifier1,6,TF,for meal preparation,,,,
Qualifier1,6,TG,for grooming,,,,
Qualifier1,6,TH,for housekeeping,,,,
Qualifier1,6,TJ,for home economics,,,,
Qualifier1,6,TM,for oral hygiene,,,,
Qualifier1,6,TP,for body positioning,,,,
Qualifier1,6,TQ,for hair washing,,,,
Qualifier1,6,TT,for transfers,,,,
Qualifier1,6,TU,job placement,,,,
Qualifier1,6,TV,supported work,,,,
Qualifier1,6,TW,for multiple motor functions,,,,
Qualifier1,6,ZZ,for other NEC,,,,
Qualifier2,6,AA,by active listening,,,,
Qualifier2,6,AR,interactive,,,,
Qualifier2,6,BA,by Adlerian,,,,
Qualifier2,6,BE,by behavioral,,,,
Qualifier2,6,BL,by art expression,,,,
Qualifier2,6,BM,by keeping a journal expression,,,,
Qualifier2,6,BN,by meditation expression,,,,
Qualifier2,6,CA,by animal- assisted,,,,
Qualifier2,6,CC,by symbol comprehension,,,,
Qualifier2,6,CE,by cognitive- behavioral,,,,
Qualifier2,6,CF,by discourse comprehension,,,,
Qualifier2,6,CG,by lexicon comprehension,,,,
Qualifier2,6,CH,by morphology comprehension,,,,
Qualifier2,6,CJ,by phonetics comprehension,,,,
Qualifier2,6,CK,by phonology comprehension,,,,
Qualifier2,6,CL,by pragmatics comprehension,,,,
Qualifier2,6,CM,by semantics comprehension,,,,
Qualifier2,6,CN,by syntax comprehension,,,,
Qualifier2,6,CP,by punctuation comprehension,,,,
Qualifier2,6,CQ,by written narrative comprehension,,,,
Qualifier2,6,CZ,by comprehension technique NEC,,,,
Qualifier2,6,DA,by aroma,,,,
Qualifier2,6,DE,by developmental,,,,
Qualifier2,6,EA,by contingency management,,,,
Qualifier2,6,EC,by symbol expression,,,,
Qualifier2,6,EF,by discourse expression,,,,
Qualifier2,6,EG,by lexicon expression,,,,
Qualifier2,6,EH,by morphology expression,,,,
Qualifier2,6,EJ,by phonetics expression,,,,
Qualifier2,6,EK,by phonology expression,,,,
Qualifier2,6,EL,by pragmatics expression,,,,
Qualifier2,6,EM,by semantics expression,,,,
Qualifier2,6,EN,by syntax expression,,,,
Qualifier2,6,EP,by punctuation expression,,,,
Qualifier2,6,EQ,by written narrative expression,,,,
Qualifier2,6,EZ,by expression technique NEC,,,,
Qualifier2,6,FA,by creative movement (e.g. dance),,,,
Qualifier2,6,GA,by drama,,,,
Qualifier2,6,HA,by desensitization,,,,
Qualifier2,6,JA,by dynamic,,,,
Qualifier2,6,KA,by existential,,,,
Qualifier2,6,LA,by free association,,,,
Qualifier2,6,MA,by Gestalt,,,,
Qualifier2,6,NA,by hypnosis,,,,
Qualifier2,6,PA,by light,,,,
Qualifier2,6,QA,by logotherapy,,,,
Qualifier2,6,RA,by music,,,,
Qualifier2,6,RE,by rational emotive,,,,
Qualifier2,6,SA,by play,,,,
Qualifier2,6,SC,by specific sound patterns,,,,
Qualifier2,6,SD,by sound segmental awareness (syllables),,,,
Qualifier2,6,SE,by sound sequence,,,,
Qualifier2,6,SF,by sound rate (onset duration),,,,
Qualifier2,6,SG,by rhythm,,,,
Qualifier2,6,SZ,by sound technique NEC,,,,
Qualifier2,6,TA,by process- experiential,,,,
Qualifier2,6,UA,by response prevention,,,,
Qualifier2,6,VA,by sensitization,,,,
Qualifier2,6,WA,by stimulus control,,,,
Qualifier2,6,XA,by strategic,,,,
Qualifier2,6,YA,by transactional,,,,
Qualifier2,6,ZA,by transference,,,,
Qualifier2,6,ZZ,by other NEC (technique),,,,
Group,7,SC,Personal care,,Personal Care Healthcare Interventions,,
Group,7,SE,Environment,,Environmental Healthcare Interventions,,
Group,7,SF,Service,,Service Healthcare Interventions,,
Group,7,SJ,Support activity,,Support Activity Healthcare Interventions,,
Group,7,SP,Promoting health and preventing disease,,Promoting Health and Preventing Disease Healthcare Interventions,,
Group,7,SZ,Emergency use,,Other Healthcare Interventions NEC,,
Intervention,7,04,Accommodation,"Provision of a safe, healthy and appropriate living space to a client in order to fulfill healthcare needs.",,,
Intervention,7,06,Activity program delivery,"Provides (semi)structured activities to help clients to develop and use leisure in ways that enhance health, wellness and independence.",,,
Intervention,7,05,Advocacy,The act of mediation or pleading in favour of a client. Patient advocacy,,,
Intervention,7,02,Assessment,"Involves evaluating a condition, problem, situation or functional status to establish and/or identify treatment or rehabilitation measures and/or monitor response to an existing treatment/rehabilitation plan. May also include ordering diagnostic investigations, reviewing results, prescribing and counseling as appropriate. Examples are: Analysis of barriers to access; Ergonomic assessment; Group home assessment; Review of health hazards",,,
Intervention,7,01,Assistance,The act of helping or aiding a client to perform a task of daily living. Bathing a patient [client]; Portering patient; Assistance with feeding,,,
Intervention,7,15,Brokerage,"The act of delegating, managing or monitoring services or care on behalf of a client. Case management; Patient referral",,,
Intervention,7,36,Clinical photography,"Photographs or videotapes of a lesion, disease process, or healthcare session done to track progression of the disease or for education purposes.",,,
Intervention,7,35,Collection evidence,"Gathering tissue samples, or photographs of a client for use in a court of law.  Rape kit preparation",,,
Intervention,7,10,Counseling,"Providing advice to a client that identifies health problems (or risks), encourages a change of client attitude or behaviour in order to initiate a willingness to modify lifestyle or behaviour that will result in an elimination of the health problem (or risk). Lifestyle counseling; Drug abuse counseling; Safe sex counseling; Coping information and resources; Interactive visits with health care professional",,,
Intervention,7,17,Dispensing,Preparing and distributing pharmaceutical agents or health care products for a particular client; Unit dose dispensing,,,
Intervention,7,30,Documentation,"Written correspondence or completion of certificates or documents done on behalf of a client. Completion of birth or death certificate; Certificate completion.
EXCLUDES patient record keeping which is considered part of the clinical care process.",,,
Intervention,7,60,Education,"Information provided, normally in a structured format (e.g. lecture, seminar, classroom) to bring an audience to a better understanding of a health-related topic so that the quality of their lives (and future decision-making) may be improved; Educating for health risks (e.g. disease process); Listing available community healthcare resources; Other family members learning about a patient's condition",,,
Intervention,7,59,Instruction,Simple demonstration of a process (or task) and repetition of that task by the client in a supportive environment to assist the client in future self-care. Instruction in self-administration of medication; Instruction in self catheterization; Diabetic teaching (e.g. monitoring glucose levels),,,
Intervention,7,19,Language interpretation,The act of explaining the meaning of medical terminology or translating from one language to another.  Language translation,,,
Intervention,7,18,Measuring and fitting,The act of obtaining an appropriate size or range of a prosthetic device/appliance to match a particular client's size. Measuring and fitting for prosthetic limb; Measuring and fitting for contact lenses,,,
